Title,Date,ID,Comment,Comment_date,Channel,Like,Dislike,Comment_like
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,HON HO OH,이거를 보면 이정권이 얼마나 페미를 이용하고 남자들을 깔아뭉개스면 젋은 남자들이 압도적으로 지지를 했을까.그리고 여자들은 페미짖에 페미로 좋았으니까 박영선을 지지하고 있냐.성추행당인 만진당 때문에 한 보궐 선거인데 정신못차리고 지지를 한다니 한심하다.,2주 전,채널A 뉴스,2.6천,56,425
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,s C,2~30대그대들은 나라의 기둥!고맙습니다~^^,2주 전,채널A 뉴스,2.6천,56,203
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,soon sung Hong,서울시민 부산시민들의 승리다!,2주 전,채널A 뉴스,2.6천,56,158
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,sp ded,이 나라가 진짜 미쳐버린 나라인게 ... 20대가 오세훈 뽑은건 페미가 너무 싫어서 뽑은건데 ... 그 어떤 뉴스도 페미욕을 하지 않는다,2주 전,채널A 뉴스,2.6천,56,306
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,뒤지게,진찌 20대 남자들이 제일 제정신같다 ㄹㅇ,1주 전,채널A 뉴스,2.6천,56,43
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,응가맨,잘해서 승리가 아니라 상대가 못해서 이긴걸 알고있다는게 너무 다행이다.제발 우리나라가 살아났으면 좋겠다.,2주 전,채널A 뉴스,2.6천,56,111
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,June,소방관 여성 비율 늘리는거보고 소름돋았다 더민주는 미친것이 틀림없다,2주 전,채널A 뉴스,2.6천,56,35
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,김태엽,전지현님 말씀 👉🙏👈,2주 전,채널A 뉴스,2.6천,56,90
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,미스터박,최악보단 차악을 뽑는게 선거의 핵심이 되어버린 정치판...,2주 전,채널A 뉴스,2.6천,56,48
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,우간지,2030대 남자들을 무시한 대가가 큰영향력으로 올거다,1주 전,채널A 뉴스,2.6천,56,43
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,아직씁니다,72퍼 몰표보다 박영선 투표율이 44퍼라는게 더 충격임,1주 전,채널A 뉴스,2.6천,56,36
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,사똣,28 살 나는 20대는 역사적 경험치 낮다를 보고 투표하러갔다.,2주 전,채널A 뉴스,2.6천,56,79
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,반반청,미투나 페미 타령은 한국인 남녀 분열을 위한 쇼였지. 여자를 위한 아무런 것도 아니었음. 피해호소인란 신조어에 기가 찬다.,2주 전,채널A 뉴스,2.6천,56,238
