Title,Date,ID,Comment,Comment_date,Channel,Like,Dislike,Comment_like
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,이강모,이런사람이 여론조사 기관 대표라니....,2주 전,KBS 1라디오,1천,55,0
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,cherkd386,구라는 왜이리 나오나?,2주 전,KBS 1라디오,1천,55,1
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,LensLee LEE,구라미터 재수없다,2주 전,KBS 1라디오,1천,55,3
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,김정례,서울시장  부산시장 어느곳 이든자신이 정직햐야 권위가 섭니다정직하지 못한 상관을 따라 일할수 있겠 읍니까특히 젊은 층들 정치 지도자을 선택 할때 청렴한분을 선택하겠지요...앞길이 창창한 사람 들이 부정도능력이라 할까요?!!,2주 전(수정됨),KBS 1라디오,1천,55,2
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,태양처럼,부동산으로 정부심판한다면서  부동산 투기꾼을 뽑는 것은 더 큰 모순이다.,2주 전,KBS 1라디오,1천,55,6
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,갓리진킹스트,ㅋㅋㅋㅋㅋㅋㅋ 이택수 꺼지라고 난리치던 새끼들 죄다 나가리됐네 ㅋㅋㅋㅋㅋ 이게 현대 과학 문명의 산물이다 시대착오적인 구닥다리들아 ㅋㅋㅋㅋㅋ,2주 전,KBS 1라디오,1천,55,2
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,조인자,김영선111111111김영춘1111111111,2주 전,KBS 1라디오,1천,55,14
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,ksw3717 gang,점쟁이 이택수 대표님 나오셨네.매번 틀리지 말고 이번엔 좀 맞춰봐라.점쟁이도 열 번 중 한 번은 맞춘다.,2주 전,KBS 1라디오,1천,55,8
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,방깡충,택수! 어치게 한번을 쪽팔리게 전문가라 하지 마라,2주 전,KBS 1라디오,1천,55,3
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,정준교,구라미터 한번이나 맞춘적있나요.일주일전에 박영선은 이겼다고 댓글올렸읍니다,2주 전,KBS 1라디오,1천,55,1
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,김지영,ㅏㅐㅐㅐ,2주 전,KBS 1라디오,1천,55,0
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,김지영,ㅏㅐㅐㅐㅐ,2주 전,KBS 1라디오,1천,55,0
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,이나경,깨끗한  후보  부산시장후보님  응원합니다 지지합니다,2주 전,KBS 1라디오,1천,55,0
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,김병진,에레이 빠야,2주 전,KBS 1라디오,1천,55,3
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,송닝기리,2030청년들이 국힘당 맛을 아직 제대로 못봤는가보네요.국힘이 정권 잡으면 청년은 눈에 보일까요?기득권.재벌들 챙기기 바쁠건데...,2주 전,KBS 1라디오,1천,55,1
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,전태숙,부동 산땜에 속상 하면셔요  오세 훈네곡땅은  있는사람 을 왜 뽑는지 한심해요,2주 전,KBS 1라디오,1천,55,0
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,김경혜,김경진  이사람좀 안보면 좋겠습니다,2주 전,KBS 1라디오,1천,55,10
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,서윤석,56%대23%,2주 전,KBS 1라디오,1천,55,2
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,청담,"이택수,저애는 아주 편파적이고 여론조사자체를 편파젘으로 해석하는  못된버러지라고 너도나도 난리다.!!!@@@***",2주 전,KBS 1라디오,1천,55,8
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,Rung Fun,댓글을 보니 국힘이 승리했구나~,2주 전,KBS 1라디오,1천,55,3
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,이강모,리얼미터 조서가 맞으면 나는 영원히  투표 포기한다.,2주 전,KBS 1라디오,1천,55,0
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,ch H,편파보도의 대명사 KBS,2주 전,KBS 1라디오,1천,55,2
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,선윤영,구라미터에서 나오셨네? 똑바로해라,2주 전(수정됨),KBS 1라디오,1천,55,12
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,박멜스,맞지도않고 선동하는 조사가 왜 필요하는지 몰라 조사결과에 반응해서마음 변하는 경우는 거의없지 왜 하는지안하는게 좋겠어,2주 전,KBS 1라디오,1천,55,0
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,깨돌,이번 선거는 민주당과 언론과의  승부인듯,2주 전,KBS 1라디오,1천,55,1
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,김종명,민주당은 애초부터 네가티브로 전략을 세웠다고 본다  내세울게 없으니,2주 전,KBS 1라디오,1천,55,3
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,디투더쥐,이제 국민들이 깨어나는듯 숨통좀 트이겠네 내로남불 위선 이런거본다고 분노가 쌓이고있었음,2주 전,KBS 1라디오,1천,55,11
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,김종명,정신승리 하고 있네,2주 전,KBS 1라디오,1천,55,2
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,KH Noh,구라미터네!!!,2주 전,KBS 1라디오,1천,55,1
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,Helena Lee,"택수야, 그래서 작년 총선 때 민주당 150석이라 했었나?",2주 전,KBS 1라디오,1천,55,1
